date_ist,minute_bucket_ist,run_id,symbol,alert_code,state,severity,value,message,meta
2026-07-29 00:00:00,2026-07-29 09:15:00,1,NIFTY,REGIME_RANGE_PIN,ON,LOW,0,Range / pin (inside local walls),"{""dedupe_key"":""NIFTY|REGIME_RANGE_PIN|ON|2026-07-29 09:15"",""threshold"":0.001,""value"":0,""since_minute_bucket_ist"":"""",""last_updated_ist"":""2026-07-29 09:15:00""}"
2026-07-29 00:00:00,2026-07-29 09:16:00,2,NIFTY,REGIME_TREND_UP,ON,MED,0.0013,Trend UP (slope + direction),"{""dedupe_key"":""NIFTY|REGIME_TREND_UP|ON|2026-07-29 09:16"",""threshold"":0.001,""value"":0.0013,""since_minute_bucket_ist"":"""",""last_updated_ist"":""2026-07-29 09:16:00""}"
2026-07-29 00:00:00,2026-07-29 09:16:00,2,NIFTY,REGIME_RANGE_PIN,OFF,LOW,0,Range / pin (inside local walls),"{""dedupe_key"":""NIFTY|REGIME_RANGE_PIN|OFF|2026-07-29 09:16"",""threshold"":0.001,""value"":0,""since_minute_bucket_ist"":""2026-07-29 09:15"",""last_updated_ist"":""2026-07-29 09:16:00""}"
2026-07-29 00:00:00,2026-07-29 09:16:00,2,NIFTY,TAIL_RISK_SKEW_LOW,ON,LOW,0,Tail-risk skew low (PCR_COI low),"{""dedupe_key"":""NIFTY|TAIL_RISK_SKEW_LOW|ON|2026-07-29 09:16"",""threshold"":0.55,""value"":0,""since_minute_bucket_ist"":"""",""last_updated_ist"":""2026-07-29 09:16:00""}"
2026-07-29 00:00:00,2026-07-29 09:17:00,3,NIFTY,FLOW_BOTH_BUILDING,ON,MED,0.0304,Both sides building (straddle build) → higher chop risk,"{""dedupe_key"":""NIFTY|FLOW_BOTH_BUILDING|ON|2026-07-29 09:17"",""threshold"":0.005,""value"":0.0304,""since_minute_bucket_ist"":"""",""last_updated_ist"":""2026-07-29 09:17:00""}"
2026-07-29 00:00:00,2026-07-29 09:17:00,3,NIFTY,PIN_BASIC,ON,LOW,37.5,Spot near a local wall (pin zone),"{""dedupe_key"":""NIFTY|PIN_BASIC|ON|2026-07-29 09:17"",""threshold"":37.5,""value"":37.5,""since_minute_bucket_ist"":"""",""last_updated_ist"":""2026-07-29 09:17:00""}"
2026-07-29 00:00:00,2026-07-29 09:17:00,3,NIFTY,OPTION_MOMENTUM_CALL,ON,MED,3.65,ATM CALL momentum (ltp up + vol up),"{""dedupe_key"":""NIFTY|OPTION_MOMENTUM_CALL|ON|2026-07-29 09:17"",""threshold"":1.5,""value"":3.65,""since_minute_bucket_ist"":"""",""last_updated_ist"":""2026-07-29 09:17:00""}"
2026-07-29 00:00:00,2026-07-29 09:17:00,3,NIFTY,TAIL_RISK_SKEW_LOW,OFF,LOW,0.72,Tail-risk skew low (PCR_COI low),"{""dedupe_key"":""NIFTY|TAIL_RISK_SKEW_LOW|OFF|2026-07-29 09:17"",""threshold"":0.55,""value"":0.72,""since_minute_bucket_ist"":""2026-07-29 09:16"",""last_updated_ist"":""2026-07-29 09:17:00""}"
2026-07-29 00:00:00,2026-07-29 09:17:00,3,NIFTY,WALL_SHIFT_REGIME,ON,MED,1,Wall strike shifted materially (>= 1 step),"{""dedupe_key"":""NIFTY|WALL_SHIFT_REGIME|ON|2026-07-29 09:17"",""threshold"":1,""value"":1,""since_minute_bucket_ist"":"""",""last_updated_ist"":""2026-07-29 09:17:00""}"
2026-07-29 00:00:00,2026-07-29 09:18:00,4,NIFTY,TAIL_RISK_SKEW_HIGH,ON,MED,3.69,Downside tail-risk skew elevated (PCR_COI high),"{""dedupe_key"":""NIFTY|TAIL_RISK_SKEW_HIGH|ON|2026-07-29 09:18"",""threshold"":1.9,""value"":3.69,""since_minute_bucket_ist"":"""",""last_updated_ist"":""2026-07-29 09:18:00""}"
