date_ist,entry_bucket_ist,exit_bucket_ist,symbol,side,strike,expiry_token,setup,entry_confidence,qty,entry_opt_ltp,exit_opt_ltp,hold_min,realized_pct,realized_pts,mfe_pct,mfe_opt_ltp,mfe_bucket_ist,mae_pct,mae_opt_ltp,mae_bucket_ist,exit_reason
2026-07-29 00:00:00,2026-07-29 09:41:00,2026-07-29 10:58:00,NIFTY,CALL,24150,26721,BREAKOUT_UP,76,65,182.15,173.55,77,-4.72,-8.6,1.18,184.3,2026-07-29 10:27:00,-8.13,167.35,2026-07-29 10:00:00,SIGNAL_FLIP ENTRY_PUT (conf 68)
2026-07-29 00:00:00,2026-07-29 10:58:00,2026-07-29 11:00:00,NIFTY,PUT,24200,26721,PIN_BREAK,68,65,126,126.1,2,0.08,0.1,0.08,126.1,2026-07-29 11:00:00,-0.08,125.9,2026-07-29 10:59:00,REGIME_OPPOSITE persisted 2m
2026-07-29 00:00:00,2026-07-29 12:10:00,2026-07-29 12:49:00,NIFTY,CALL,24200,26721,BREAKOUT_UP,76,65,152,137.85,39,-9.31,-14.15,0.95,153.45,2026-07-29 12:11:00,-9.31,137.85,2026-07-29 12:49:00,SIGNAL_FLIP ENTRY_PUT (conf 76)
2026-07-29 00:00:00,2026-07-29 12:49:00,2026-07-29 12:52:00,NIFTY,PUT,24200,26721,PIN_BREAK,76,65,125.7,124.9,3,-0.64,-0.8,1.19,127.2,2026-07-29 12:51:00,-0.64,124.9,2026-07-29 12:52:00,REGIME_OPPOSITE persisted 2m
2026-07-29 00:00:00,2026-07-29 13:10:00,2026-07-29 15:19:00,NIFTY,CALL,24200,26721,BREAKOUT_UP,76,65,163.15,146,129,-10.51,-17.15,3.06,168.15,2026-07-29 14:19:00,-11.19,144.9,2026-07-29 13:45:00,SIGNAL_FLIP ENTRY_PUT (conf 82)
2026-07-29 00:00:00,2026-07-29 15:19:00,2026-07-29 15:28:00,NIFTY,PUT,24250,26721,BREAKOUT_DOWN,82,65,142.75,,9,,,0,142.75,2026-07-29 15:19:00,-2.87,138.65,2026-07-29 15:22:00,FORCE_EXIT_TIME 15:28 >= 15:28
