date_ist,minute_bucket_ist,run_id,symbol,expiry_requested,expiry_used,asof_utc,nse_status,fetch_ms,warnings,spot,atm_strike,step,call_oi_sum,put_oi_sum,call_coi_sum,put_coi_sum,pcr_coi,net_oi,net_coi,call_wall_strike,put_wall_strike
2026-07-29 00:00:00,2026-07-29 09:15:00,1,NIFTY,2026-08-04 00:00:00,2026-08-04 00:00:00,2026-07-29T03:45:58Z,OK,462,,24141.8,24150,50,570733,314704,0,0,0,-256029,0,24000,24000
2026-07-29 00:00:00,2026-07-29 09:16:00,2,NIFTY,2026-08-04 00:00:00,2026-08-04 00:00:00,2026-07-29T03:46:55Z,OK,213,,24173.1,24150,50,581306,314721,10573,17,0.001607869100539109,-266585,-10556,24000,24000
2026-07-29 00:00:00,2026-07-29 09:17:00,3,NIFTY,2026-08-04 00:00:00,2026-08-04 00:00:00,2026-07-29T03:47:53Z,OK,360,,24179.65,24200,50,654952,392784,328117,235888,0.7189142897198255,-262168,-92229,24000,24000
2026-07-29 00:00:00,2026-07-29 09:18:00,4,NIFTY,2026-08-04 00:00:00,2026-08-04 00:00:00,2026-07-29T03:48:52Z,OK,69,,24188.75,24200,50,661989,435799,38246,141225,3.6925430110338335,-226190,102979,24000,24000
2026-07-29 00:00:00,2026-07-29 09:19:00,5,NIFTY,2026-08-04 00:00:00,2026-08-04 00:00:00,2026-07-29T03:49:52Z,OK,93,,24190.45,24200,50,670706,467985,46963,173411,3.6925026084364285,-202721,126448,24000,24000
2026-07-29 00:00:00,2026-07-29 09:20:00,6,NIFTY,2026-08-04 00:00:00,2026-08-04 00:00:00,2026-07-29T03:51:03Z,BLOCKED,10011,REQUEST_ERROR:ReadTimeout,0,0,50,0,0,0,0,0,0,0,0,0
2026-07-29 00:00:00,2026-07-29 09:21:00,7,NIFTY,2026-08-04 00:00:00,2026-08-04 00:00:00,2026-07-29T03:51:53Z,OK,240,,24178.25,24200,50,678282,493831,351447,336935,0.9587078563766371,-184451,-14512,24000,24000
2026-07-29 00:00:00,2026-07-29 09:22:00,8,NIFTY,2026-08-04 00:00:00,2026-08-04 00:00:00,2026-07-29T03:52:53Z,OK,268,,24172.9,24150,50,641043,548528,70310,233824,3.325615132982506,-92515,163514,24200,24000
2026-07-29 00:00:00,2026-07-29 09:23:00,9,NIFTY,2026-08-04 00:00:00,2026-08-04 00:00:00,2026-07-29T03:53:51Z,OK,212,,24172.9,24150,50,641043,548528,70310,233824,3.325615132982506,-92515,163514,24200,24000
2026-07-29 00:00:00,2026-07-29 09:24:00,10,NIFTY,2026-08-04 00:00:00,2026-08-04 00:00:00,2026-07-29T03:54:56Z,OK,3944,,24173.95,24150,50,666168,542317,95435,227613,2.3850055011264213,-123851,132178,24200,24000
2026-07-29 00:00:00,2026-07-29 09:25:00,11,NIFTY,2026-08-04 00:00:00,2026-08-04 00:00:00,2026-07-29T03:55:51Z,OK,34,,24173.95,24150,50,666168,542317,95435,227613,2.3850055011264213,-123851,132178,24200,24000
2026-07-29 00:00:00,2026-07-29 09:26:00,12,NIFTY,2026-08-04 00:00:00,2026-08-04 00:00:00,2026-07-29T03:56:53Z,OK,353,,24174.75,24150,50,689907,543489,119174,228785,1.9197559870441538,-146418,109611,24200,24000
2026-07-29 00:00:00,2026-07-29 09:27:00,13,NIFTY,2026-08-04 00:00:00,2026-08-04 00:00:00,2026-07-29T03:57:55Z,OK,1141,,24192.05,24200,50,770283,529864,146540,235290,1.605636686229016,-240419,88750,24200,24000
2026-07-29 00:00:00,2026-07-29 09:28:00,14,NIFTY,2026-08-04 00:00:00,2026-08-04 00:00:00,2026-07-29T03:58:52Z,OK,81,,24192.05,24200,50,770283,529864,146540,235290,1.605636686229016,-240419,88750,24200,24000
2026-07-29 00:00:00,2026-07-29 09:29:00,15,NIFTY,2026-08-04 00:00:00,2026-08-04 00:00:00,2026-07-29T03:59:56Z,OK,74,,24185.5,24200,50,777959,534512,154216,239938,1.5558567204440525,-243447,85722,24200,24000
2026-07-29 00:00:00,2026-07-29 09:30:00,16,NIFTY,2026-08-04 00:00:00,2026-08-04 00:00:00,2026-07-29T04:00:55Z,OK,285,,24178.8,24200,50,783809,548240,160066,253666,1.5847587870003623,-235569,93600,24200,24000
2026-07-29 00:00:00,2026-07-29 09:31:00,17,NIFTY,2026-08-04 00:00:00,2026-08-04 00:00:00,2026-07-29T04:01:54Z,OK,174,,24182.75,24200,50,786897,561207,163154,266633,1.6342412689851307,-225690,103479,24200,24000
