timestamp_ist,date_ist,minute_bucket_ist,minuteBucketIst,run_id,status,nifty_status,fetch_ms_total,error_message,rows_snapshot_appended,rows_strikes_appended
2026-07-22 09:15:00,2026-07-22 00:00:00,2026-07-22 09:15:00,2026-07-22 09:15:00,1,OK,OK,325,,1,17
2026-07-22 09:16:00,2026-07-22 00:00:00,2026-07-22 09:16:00,2026-07-22 09:16:00,2,OK,OK,923,,1,17
2026-07-22 09:17:00,2026-07-22 00:00:00,2026-07-22 09:17:00,2026-07-22 09:17:00,3,OK,OK,418,,1,17
2026-07-22 09:18:00,2026-07-22 00:00:00,2026-07-22 09:18:00,2026-07-22 09:18:00,4,OK,OK,531,,1,17
2026-07-22 09:19:00,2026-07-22 00:00:00,2026-07-22 09:19:00,2026-07-22 09:19:00,5,OK,OK,456,,1,17
2026-07-22 09:20:00,2026-07-22 00:00:00,2026-07-22 09:20:00,2026-07-22 09:20:00,6,OK,OK,110,,1,17
2026-07-22 09:21:00,2026-07-22 00:00:00,2026-07-22 09:21:00,2026-07-22 09:21:00,7,OK,OK,406,,1,17
2026-07-22 09:22:00,2026-07-22 00:00:00,2026-07-22 09:22:00,2026-07-22 09:22:00,8,OK,OK,400,,1,17
2026-07-22 09:23:00,2026-07-22 00:00:00,2026-07-22 09:23:00,2026-07-22 09:23:00,9,OK,OK,60,,1,17
2026-07-22 09:24:00,2026-07-22 00:00:00,2026-07-22 09:24:00,2026-07-22 09:24:00,10,OK,OK,497,,1,17
2026-07-22 09:25:00,2026-07-22 00:00:00,2026-07-22 09:25:00,2026-07-22 09:25:00,11,OK,OK,911,,1,17
2026-07-22 09:26:00,2026-07-22 00:00:00,2026-07-22 09:26:00,2026-07-22 09:26:00,12,OK,OK,31,,1,17
2026-07-22 09:27:00,2026-07-22 00:00:00,2026-07-22 09:27:00,2026-07-22 09:27:00,13,OK,OK,168,,1,17
2026-07-22 09:28:00,2026-07-22 00:00:00,2026-07-22 09:28:00,2026-07-22 09:28:00,14,OK,OK,760,,1,17
2026-07-22 09:29:00,2026-07-22 00:00:00,2026-07-22 09:29:00,2026-07-22 09:29:00,15,OK,OK,423,,1,17
2026-07-22 09:30:00,2026-07-22 00:00:00,2026-07-22 09:30:00,2026-07-22 09:30:00,16,OK,OK,970,,1,17
