date_ist,minute_bucket_ist,run_id,symbol,expiry_requested,expiry_used,asof_utc,nse_status,fetch_ms,warnings,spot,atm_strike,step,call_oi_sum,put_oi_sum,call_coi_sum,put_coi_sum,pcr_coi,net_oi,net_coi,call_wall_strike,put_wall_strike
2026-08-20 00:00:00,2026-08-20 09:40:00,26,NIFTY,2026-08-11 00:00:00,,,BLOCKED,0,"Non-JSON response, HTTP 403 | HTTP 403",0,0,50,0,0,0,0,0,0,0,0,0
2026-08-20 00:00:00,2026-08-20 09:41:00,27,NIFTY,2026-08-11 00:00:00,,,BLOCKED,0,"Non-JSON response, HTTP 403 | HTTP 403",0,0,50,0,0,0,0,0,0,0,0,0
2026-08-20 00:00:00,2026-08-20 09:42:00,28,NIFTY,2026-08-11 00:00:00,,,BLOCKED,0,"Non-JSON response, HTTP 403 | HTTP 403",0,0,50,0,0,0,0,0,0,0,0,0
2026-08-20 00:00:00,2026-08-20 09:43:00,29,NIFTY,2026-08-11 00:00:00,,,BLOCKED,0,"Non-JSON response, HTTP 403 | HTTP 403",0,0,50,0,0,0,0,0,0,0,0,0
2026-08-20 00:00:00,2026-08-20 09:44:00,30,NIFTY,2026-08-11 00:00:00,,,BLOCKED,0,"Non-JSON response, HTTP 403 | HTTP 403",0,0,50,0,0,0,0,0,0,0,0,0
2026-08-20 00:00:00,2026-08-20 09:45:00,31,NIFTY,2026-08-11 00:00:00,,,BLOCKED,0,"Non-JSON response, HTTP 403 | HTTP 403",0,0,50,0,0,0,0,0,0,0,0,0
2026-08-20 00:00:00,2026-08-20 09:46:00,32,NIFTY,2026-08-11 00:00:00,,,BLOCKED,0,"Non-JSON response, HTTP 403 | HTTP 403",0,0,50,0,0,0,0,0,0,0,0,0
2026-08-20 00:00:00,2026-08-20 09:47:00,33,NIFTY,2026-08-11 00:00:00,,,BLOCKED,0,"Non-JSON response, HTTP 403 | HTTP 403",0,0,50,0,0,0,0,0,0,0,0,0
2026-08-20 00:00:00,2026-08-20 09:48:00,34,NIFTY,2026-08-11 00:00:00,,,BLOCKED,0,"Non-JSON response, HTTP 403 | HTTP 403",0,0,50,0,0,0,0,0,0,0,0,0
2026-08-20 00:00:00,2026-08-20 09:49:00,35,NIFTY,2026-08-11 00:00:00,,,BLOCKED,0,"Non-JSON response, HTTP 403 | HTTP 403",0,0,50,0,0,0,0,0,0,0,0,0
2026-08-20 00:00:00,2026-08-20 09:50:00,36,NIFTY,2026-08-11 00:00:00,,,BLOCKED,0,"Non-JSON response, HTTP 403 | HTTP 403",0,0,50,0,0,0,0,0,0,0,0,0
2026-08-20 00:00:00,2026-08-20 09:51:00,37,NIFTY,2026-08-11 00:00:00,,,BLOCKED,0,"Non-JSON response, HTTP 403 | HTTP 403",0,0,50,0,0,0,0,0,0,0,0,0
2026-08-20 00:00:00,2026-08-20 09:52:00,38,NIFTY,2026-08-11 00:00:00,,,BLOCKED,0,"Non-JSON response, HTTP 403 | HTTP 403",0,0,50,0,0,0,0,0,0,0,0,0
2026-08-20 00:00:00,2026-08-20 09:53:00,39,NIFTY,2026-08-11 00:00:00,,,BLOCKED,0,"Non-JSON response, HTTP 403 | HTTP 403",0,0,50,0,0,0,0,0,0,0,0,0
2026-08-20 00:00:00,2026-08-20 09:54:00,40,NIFTY,2026-08-11 00:00:00,,,BLOCKED,0,"Non-JSON response, HTTP 403 | HTTP 403",0,0,50,0,0,0,0,0,0,0,0,0
2026-08-20 00:00:00,2026-08-20 09:55:00,41,NIFTY,2026-08-11 00:00:00,,,BLOCKED,0,"Non-JSON response, HTTP 403 | HTTP 403",0,0,50,0,0,0,0,0,0,0,0,0
2026-08-20 00:00:00,2026-08-20 09:56:00,42,NIFTY,2026-08-11 00:00:00,,,BLOCKED,0,"Non-JSON response, HTTP 403 | HTTP 403",0,0,50,0,0,0,0,0,0,0,0,0
2026-08-20 00:00:00,2026-08-20 09:57:00,43,NIFTY,2026-08-11 00:00:00,,,BLOCKED,0,"Non-JSON response, HTTP 403 | HTTP 403",0,0,50,0,0,0,0,0,0,0,0,0
