date_ist,minute_bucket_ist,run_id,symbol,alert_code,state,severity,value,message,meta
2026-08-04 00:00:00,2026-08-04 09:15:00,1,NIFTY,REGIME_TRANSITION_UNCERTAIN,ON,LOW,1,Transition/uncertain regime,"{""dedupe_key"":""NIFTY|REGIME_TRANSITION_UNCERTAIN|ON|2026-08-04 09:15"",""threshold"":1,""value"":1,""since_minute_bucket_ist"":"""",""last_updated_ist"":""2026-08-04 09:15:00""}"
2026-08-04 00:00:00,2026-08-04 09:15:00,1,NIFTY,PIN_BASIC,ON,LOW,37.5,Spot near a local wall (pin zone),"{""dedupe_key"":""NIFTY|PIN_BASIC|ON|2026-08-04 09:15"",""threshold"":37.5,""value"":37.5,""since_minute_bucket_ist"":"""",""last_updated_ist"":""2026-08-04 09:15:00""}"
2026-08-04 00:00:00,2026-08-04 09:17:00,3,NIFTY,FLOW_BOTH_BUILDING,ON,MED,0.0792,Both sides building (straddle build) → higher chop risk,"{""dedupe_key"":""NIFTY|FLOW_BOTH_BUILDING|ON|2026-08-04 09:17"",""threshold"":0.005,""value"":0.0792,""since_minute_bucket_ist"":"""",""last_updated_ist"":""2026-08-04 09:17:00""}"
2026-08-04 00:00:00,2026-08-04 09:17:00,3,NIFTY,REGIME_RANGE_PIN,ON,LOW,0,Range / pin (inside local walls),"{""dedupe_key"":""NIFTY|REGIME_RANGE_PIN|ON|2026-08-04 09:17"",""threshold"":0.001,""value"":0,""since_minute_bucket_ist"":"""",""last_updated_ist"":""2026-08-04 09:17:00""}"
2026-08-04 00:00:00,2026-08-04 09:17:00,3,NIFTY,REGIME_TRANSITION_UNCERTAIN,OFF,LOW,1,Transition/uncertain regime,"{""dedupe_key"":""NIFTY|REGIME_TRANSITION_UNCERTAIN|OFF|2026-08-04 09:17"",""threshold"":1,""value"":1,""since_minute_bucket_ist"":""2026-08-04 09:15"",""last_updated_ist"":""2026-08-04 09:17:00""}"
2026-08-04 00:00:00,2026-08-04 09:17:00,3,NIFTY,OPTION_MOMENTUM_PUT,ON,MED,10.55,ATM PUT momentum (ltp up + vol up),"{""dedupe_key"":""NIFTY|OPTION_MOMENTUM_PUT|ON|2026-08-04 09:17"",""threshold"":1.5,""value"":10.55,""since_minute_bucket_ist"":"""",""last_updated_ist"":""2026-08-04 09:17:00""}"
2026-08-04 00:00:00,2026-08-04 09:18:00,4,NIFTY,REGIME_RANGE_PIN,OFF,LOW,0,Range / pin (inside local walls),"{""dedupe_key"":""NIFTY|REGIME_RANGE_PIN|OFF|2026-08-04 09:18"",""threshold"":0.001,""value"":0,""since_minute_bucket_ist"":""2026-08-04 09:17"",""last_updated_ist"":""2026-08-04 09:18:00""}"
2026-08-04 00:00:00,2026-08-04 09:18:00,4,NIFTY,REGIME_TRANSITION_UNCERTAIN,ON,LOW,1,Transition/uncertain regime,"{""dedupe_key"":""NIFTY|REGIME_TRANSITION_UNCERTAIN|ON|2026-08-04 09:18"",""threshold"":1,""value"":1,""since_minute_bucket_ist"":"""",""last_updated_ist"":""2026-08-04 09:18:00""}"
2026-08-04 00:00:00,2026-08-04 09:18:00,4,NIFTY,OPTION_MOMENTUM_CALL,ON,MED,3.55,ATM CALL momentum (ltp up + vol up),"{""dedupe_key"":""NIFTY|OPTION_MOMENTUM_CALL|ON|2026-08-04 09:18"",""threshold"":1.5,""value"":3.55,""since_minute_bucket_ist"":"""",""last_updated_ist"":""2026-08-04 09:18:00""}"
2026-08-04 00:00:00,2026-08-04 09:18:00,4,NIFTY,OPTION_MOMENTUM_PUT,OFF,MED,-0.3,ATM PUT momentum (ltp up + vol up),"{""dedupe_key"":""NIFTY|OPTION_MOMENTUM_PUT|OFF|2026-08-04 09:18"",""threshold"":1.5,""value"":-0.3,""since_minute_bucket_ist"":""2026-08-04 09:17"",""last_updated_ist"":""2026-08-04 09:18:00""}"
2026-08-04 00:00:00,2026-08-04 09:18:00,4,NIFTY,CHURN_CHOP,ON,LOW,0.1513,High OI churn while price flat (chop),"{""dedupe_key"":""NIFTY|CHURN_CHOP|ON|2026-08-04 09:18"",""threshold"":0.04,""value"":0.1513,""since_minute_bucket_ist"":"""",""last_updated_ist"":""2026-08-04 09:18:00""}"
