date_ist,minute_bucket_ist,run_id,symbol,expiry_used,strike,call_oi,call_coi,put_oi,put_coi,row_status,call_vol,call_iv,call_ltp,call_chg,call_buy_qty,call_sell_qty,put_vol,put_iv,put_ltp,put_chg,put_buy_qty,put_sell_qty
2026-08-04 00:00:00,2026-08-04 09:15:00,1,NIFTY,2026-08-04 00:00:00,24200,27046,-1,227101,1332,OK,1412,0,412.8,33.2,2427295,30550,43008,22.31,1.6,-3.95,18923060,661700
2026-08-04 00:00:00,2026-08-04 09:15:00,1,NIFTY,2026-08-04 00:00:00,24250,13672,-47,103927,-32,OK,609,0,363.05,33.5,2302625,54600,19138,21.15,1.95,-4.3,8388965,220090
2026-08-04 00:00:00,2026-08-04 09:15:00,1,NIFTY,2026-08-04 00:00:00,24300,26198,-161,173572,461,OK,1813,0,314.2,31.2,4676295,45240,32305,19.86,2.5,-5.15,17779450,471575
2026-08-04 00:00:00,2026-08-04 09:15:00,1,NIFTY,2026-08-04 00:00:00,24350,12709,-40,103330,1101,OK,1025,0,264.1,29.3,7900100,37895,26784,19,3.25,-6.25,9651915,306150
2026-08-04 00:00:00,2026-08-04 09:15:00,1,NIFTY,2026-08-04 00:00:00,24400,32244,13,174673,3846,OK,3743,0,217.45,28.8,10961860,61035,43171,18.05,4.25,-8.25,19514885,509535
2026-08-04 00:00:00,2026-08-04 09:15:00,1,NIFTY,2026-08-04 00:00:00,24450,17773,0,87141,0,OK,3622,0,168,23.55,13316875,58565,31506,17.76,6.5,-11.85,15096770,269100
2026-08-04 00:00:00,2026-08-04 09:15:00,1,NIFTY,2026-08-04 00:00:00,24500,72662,-420,192498,1387,OK,22210,0,124.1,19.15,25945725,243880,72474,18.01,11.95,-17,41355535,858975
2026-08-04 00:00:00,2026-08-04 09:15:00,1,NIFTY,2026-08-04 00:00:00,24550,77166,-1125,128439,2228,OK,28275,0,83.95,12.45,29901950,240045,65551,19.17,21.7,-24.05,34409635,578955
2026-08-04 00:00:00,2026-08-04 09:15:00,1,NIFTY,2026-08-04 00:00:00,24600,230866,-872,181480,3610,OK,88926,0,52.45,6.95,46720700,1048320,80584,20.56,40.95,-28.25,47927295,528775
2026-08-04 00:00:00,2026-08-04 09:15:00,1,NIFTY,2026-08-04 00:00:00,24650,115926,1110,28807,3713,OK,68986,0,31.45,3.65,38476815,474695,33049,23.18,70,-31.85,34720920,145470
