date_ist,minute_bucket_ist,run_id,symbol,nse_status,spot,Δspot,call_oi_sum,Δcall_oi,put_oi_sum,Δput_oi,call_coi_sum,Δcall_coi,put_coi_sum,Δput_coi,net_diff,expected_move,churn,commitment,tv_ratio,tv_ratio_z,top_call_write_strike,top_call_write_score,top_put_write_strike,top_put_write_score,top_call_unwind_strike,top_call_unwind_score,top_put_unwind_strike,top_put_unwind_score,bucket_epoch_ms,expiry_used,atm_strike,overlap_strikes,d_call_oi_aligned,d_put_oi_aligned,call_oi_prev_aligned,put_oi_prev_aligned,call_oi_pct_aligned,put_oi_pct_aligned,d_net_oi_1m,total_vol_cum,d_total_vol_1m,d_total_vol_5m,atm_call_ltp,atm_put_ltp,d_atm_call_ltp_1m,d_atm_put_ltp_1m,d_atm_call_vol_1m,d_atm_put_vol_1m,call_wall_above,put_wall_below,call_wall_above_oi,put_wall_below_oi,d_call_wall_oi_5m,d_put_wall_oi_5m,call_wall_oi_pct_5m,put_wall_oi_pct_5m,d_expected_move_1m,d_expected_move_5m,expected_move_z
2026-07-20 00:00:00,2026-07-20 09:15:00,1,NIFTY,OK,24225.5,0,818711,0,1208731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1784519150815,2026-07-21 00:00:00,24250,0,0,0,0,0,0,0,0,62398222,0,0,0,0,0,0,0,0,24600,24000,104890,193588,0,0,0,0,0,0,0
2026-07-20 00:00:00,2026-07-20 09:16:00,2,NIFTY,OK,24208.4,-17.099999999998545,905958,132179,1406253,69649,131908,131908,67914,67914,-62530,202.3,0,0,0.26094481254288293,0,24200,2255989.5,23850,67645.05,0,0,24300,119073,1784519209708,2026-07-21 00:00:00,24200,16,132179,69649,768586,1207908,0.17197685099650528,0.05766084834275458,201828,2006395,0,0,105.7,96.6,105.7,96.6,0,0,24500,24200,117120,218929,0,0,0,0,202.3,0,0
2026-07-20 00:00:00,2026-07-20 09:17:00,3,NIFTY,OK,24209.05,0.6499999999978172,905958,0,1406253,0,131908,0,67914,0,0,201.85000000000002,0.11644828261780607,0.7495849628416397,0.2617113984125687,0,24200,2410308,23850,60936.450000000004,0,0,24300,148319,1784519269638,2026-07-21 00:00:00,24200,17,0,0,905958,1406253,0,0,0,2275648,269253,269253,100.45,101.4,-5.25,4.800000000000011,18361,27143,24500,24200,117120,218929,0,0,0,0,-0.44999999999998863,0,0
2026-07-20 00:00:00,2026-07-20 09:18:00,4,NIFTY,OK,24223.75,14.700000000000728,981624,75666,1443082,36829,207574,75666,104743,36829,-38837,200.39999999999998,0.5068193834633972,0.25577839477641573,0.25658111220796315,0,24200,3306374.4000000004,23900,104532,0,0,24500,166203.9,1784519329773,2026-07-21 00:00:00,24200,17,75666,36829,905958,1406253,0.08352042809931587,0.026189455240273263,112495,3235283,959635,1228888,105.8,94.6,5.349999999999994,-6.800000000000011,61159,90574,24300,24200,126976,229415,0,0,0,0,-1.4500000000000455,0,0
2026-07-20 00:00:00,2026-07-20 09:19:00,5,NIFTY,OK,24214.4,-9.349999999998545,1040134,58510,1478969,35887,266084,58510,140630,35887,-22623,197.39999999999998,0.7773493183883311,0.20871984447123745,0.2594438126744552,0.49774865109865774,24200,5020400,23900,86611.2,0,0,24350,230255.25,1784519390347,2026-07-21 00:00:00,24200,17,58510,35887,981624,1443082,0.05960530712370521,0.02486830270213335,94397,3964618,729335,1958223,92.8,104.6,-13,10,54066,78468,24200,24200,133920,241313,0,0,0,0,-3,0,0
2026-07-20 00:00:00,2026-07-20 09:20:00,6,NIFTY,OK,24201.85,-12.55000000000291,1143458,103324,1520922,41953,369408,103324,182583,41953,-61371,195.60000000000002,1.029234568642611,0.20202117076643017,0.2531449804865896,0.3928236100604767,24200,7297380.35,23850,130698.15,0,0,24500,230260.80000000002,1784519449855,2026-07-21 00:00:00,24200,17,103324,41953,1040134,1478969,0.09933720078374517,0.02836638225682891,145277,4748667,784049,2742272,93.4,102.2,0.6000000000000085,-2.3999999999999915,67143,104302,24200,24200,159867,249378,0,0,0,0,-1.7999999999999545,0,-1.5040241554037086
2026-07-20 00:00:00,2026-07-20 09:21:00,7,NIFTY,OK,24193.15,-8.69999999999709,1185889,42431,1519711,-1211,411839,42431,181372,-1211,-43642,197.8,1.249523211117682,0.11636283502577861,0.2543671056167699,0.37109630837535884,24200,8515269.15,23850,154154,0,0,24500,259043,1784519511569,2026-07-21 00:00:00,24200,17,42431,-1211,1143458,1520922,0.03710761567106094,-0.0007962275514457678,41220,5387105,638438,3380710,91.4,106.4,-2,4.200000000000003,42581,90664,24200,24200,171443,250031,0,31102,0,0.14206432222318652,2.1999999999999886,-4.5,-0.5799142953928855
2026-07-20 00:00:00,2026-07-20 09:22:00,8,NIFTY,OK,24193.15,0,1185889,0,1519711,0,411839,0,181372,0,0,197.8,1.1500062832643407,0.12643240771124267,0.2543671056167699,0.34417909130536406,24200,8515269.15,23850,154154,0,0,24500,259043,1784519569576,2026-07-21 00:00:00,24200,17,0,0,1185889,1519711,0,0,0,5387105,0,3111457,91.4,106.4,0,0,0,0,24200,24200,171443,250031,0,31102,0,0.14206432222318652,0,-4.050000000000011,-0.5244461253169242
2026-07-20 00:00:00,2026-07-20 09:23:00,9,NIFTY,OK,24188.85,-4.30000000000291,1255051,69162,1509669,-10042,481001,69162,171330,-10042,-79204,196.7,1.161346899505194,0.10589700569858157,0.2527937585364839,0.3052749439536442,24200,10797374.4,23850,118544.75000000001,0,0,24500,294463.5,1784519629845,2026-07-21 00:00:00,24200,17,69162,-10042,1185889,1519711,0.05832080405501695,-0.006607835305528486,59120,6446082,1058977,3210799,85.05,111.65,-6.3500000000000085,5.25,78660,135583,24200,24200,188776,250689,0,21274,0,0.09273151276071748,-1.1000000000000227,-3.6999999999999886,-0.8793713632361866
2026-07-20 00:00:00,2026-07-20 09:24:00,10,NIFTY,OK,24208.65,19.80000000000291,1292243,37192,1510936,1267,518193,37192,172597,1267,-35925,196.35,1.0168626405948389,0.09966012360162332,0.26068946948750704,0.3793307772344563,24200,11553817.95,23850,133342.3,0,0,24500,311839.5,1784519689710,2026-07-21 00:00:00,24200,17,37192,1267,1255051,1509669,0.029633855516628407,0.0008392568172228482,38459,6815066,368984,2850448,88.1,108.25,3.049999999999997,-3.4000000000000057,31732,40180,24200,24200,200377,250235,66457,8922,0.4962440262843489,0.03697272836523519,-0.3499999999999943,-1.049999999999983,-0.9191804033670313
2026-07-20 00:00:00,2026-07-20 09:25:00,11,NIFTY,OK,24196.15,-12.5,1328653,36410,1510363,-573,554603,36410,172024,-573,-36983,192.10000000000002,0.9950630781932895,0.06181805309734513,0.24726735907530034,-2.027560997780497,24200,12627326.25,23850,174246,0,0,24300,323897.60000000003,1784519750021,2026-07-21 00:00:00,24200,17,36410,-573,1292243,1510936,0.02817581522979811,-0.00037923512312897437,35837,7573667,758601,2825000,85.7,106.4,-2.3999999999999915,-1.8499999999999943,81123,92171,24200,24200,208435,247156,48568,-2222,0.30380253585793193,-0.008910168499226075,-4.249999999999972,-3.5,-1.9746180523101866
2026-07-20 00:00:00,2026-07-20 09:27:00,12,NIFTY,OK,24200.85,4.69999999999709,1349641,20988,1545482,35119,575591,20988,207143,35119,14131,190.2,0.9256066149866516,0.07072426667462763,0.24791305717435755,-1.4793303006472807,24200,13367324.5,23850,188005.5,0,0,24300,386664.3,1784519821021,2026-07-21 00:00:00,24200,17,20988,35119,1328653,1510363,0.015796449486811078,0.023252026168543587,56107,8066850,493183,2679745,85.75,104.45,0.04999999999999716,-1.9500000000000028,46417,57703,24200,24200,216155,262535,44712,12504,0.26079804949750063,0.05000979878495067,-1.900000000000034,-7.600000000000023,-1.9553460721307672
