date_ist,minute_bucket_ist,run_id,symbol,expiry_used,strike,call_oi,call_coi,put_oi,put_coi,row_status,call_vol,call_iv,call_ltp,call_chg,call_buy_qty,call_sell_qty,put_vol,put_iv,put_ltp,put_chg,put_buy_qty,put_sell_qty
2026-07-20 00:00:00,2026-07-20 09:15:00,1,NIFTY,2026-07-21 00:00:00,23850,1502,0,46273,0,OK,17024,58.48,0,0,0,0,818619,23.85,0,0,0,0
2026-07-20 00:00:00,2026-07-20 09:15:00,1,NIFTY,2026-07-21 00:00:00,23900,5249,0,79538,0,OK,87791,55.39,0,0,0,0,1388657,22.68,0,0,0,0
2026-07-20 00:00:00,2026-07-20 09:15:00,1,NIFTY,2026-07-21 00:00:00,23950,3964,0,53972,0,OK,60084,52.77,0,0,0,0,912806,21.64,0,0,0,0
2026-07-20 00:00:00,2026-07-20 09:15:00,1,NIFTY,2026-07-21 00:00:00,24000,31393,0,193588,0,OK,698911,50.22,0,0,0,0,2894237,20.56,0,0,0,0
2026-07-20 00:00:00,2026-07-20 09:15:00,1,NIFTY,2026-07-21 00:00:00,24050,12452,0,73354,0,OK,397828,47.93,0,0,0,0,1300013,19.14,0,0,0,0
2026-07-20 00:00:00,2026-07-20 09:15:00,1,NIFTY,2026-07-21 00:00:00,24100,44705,0,157558,0,OK,1556612,45.23,0,0,0,0,3197697,17.87,0,0,0,0
2026-07-20 00:00:00,2026-07-20 09:15:00,1,NIFTY,2026-07-21 00:00:00,24150,31232,0,126181,0,OK,1770857,44.77,0,0,0,0,2411778,16.21,0,0,0,0
2026-07-20 00:00:00,2026-07-20 09:15:00,1,NIFTY,2026-07-21 00:00:00,24200,77920,0,191699,0,OK,4716521,40.88,0,0,0,0,4929936,14.32,0,0,0,0
2026-07-20 00:00:00,2026-07-20 09:15:00,1,NIFTY,2026-07-21 00:00:00,24250,43830,0,88210,0,OK,4288204,39.05,0,0,0,0,3083771,11.99,0,0,0,0
2026-07-20 00:00:00,2026-07-20 09:15:00,1,NIFTY,2026-07-21 00:00:00,24300,94067,0,103865,0,OK,5668872,37.36,0,0,0,0,3072474,7.74,0,0,0,0
2026-07-20 00:00:00,2026-07-20 09:15:00,1,NIFTY,2026-07-21 00:00:00,24350,51698,0,32708,0,OK,2923719,35.87,0,0,0,0,845976,0,0,0,0,0
2026-07-20 00:00:00,2026-07-20 09:15:00,1,NIFTY,2026-07-21 00:00:00,24400,85083,0,24771,0,OK,3426358,34.03,0,0,0,0,605194,0,0,0,0,0
2026-07-20 00:00:00,2026-07-20 09:15:00,1,NIFTY,2026-07-21 00:00:00,24450,38482,0,6626,0,OK,1808255,32.72,0,0,0,0,133981,0,0,0,0,0
2026-07-20 00:00:00,2026-07-20 09:15:00,1,NIFTY,2026-07-21 00:00:00,24500,101847,0,22416,0,OK,3729193,31.33,0,0,0,0,313309,0,0,0,0,0
2026-07-20 00:00:00,2026-07-20 09:15:00,1,NIFTY,2026-07-21 00:00:00,24550,40272,0,2882,0,OK,1585154,30.05,0,0,0,0,29591,0,0,0,0,0
2026-07-20 00:00:00,2026-07-20 09:15:00,1,NIFTY,2026-07-21 00:00:00,24600,104890,0,4267,0,OK,2325867,29.16,0,0,0,0,49077,0,0,0,0,0
2026-07-20 00:00:00,2026-07-20 09:15:00,1,NIFTY,2026-07-21 00:00:00,24650,50125,0,823,0,OK,1340723,28.33,0,0,0,0,9133,0,0,0,0,0
2026-07-20 00:00:00,2026-07-20 09:16:00,2,NIFTY,2026-07-21 00:00:00,23800,5193,-271,128696,-1735,OK,1361,31.16,420.2,-94.1,170365,23855,82897,24.11,9.75,-5.8,3429530,400595
2026-07-20 00:00:00,2026-07-20 09:16:00,2,NIFTY,2026-07-21 00:00:00,23850,1576,74,57454,11181,OK,356,30.57,372.75,-90.5,54535,31265,59860,23.58,13.1,-6.05,3375385,222365
2026-07-20 00:00:00,2026-07-20 09:16:00,2,NIFTY,2026-07-21 00:00:00,23900,5283,34,85906,6368,OK,1583,27.21,326.1,-97.55,46410,37180,81024,23.2,17.7,-5.75,3527420,435370
2026-07-20 00:00:00,2026-07-20 09:16:00,2,NIFTY,2026-07-21 00:00:00,23950,4099,135,55381,1409,OK,1210,25.88,283,-95.6,62920,34255,50837,22.66,24.15,-5.35,3176225,211640
2026-07-20 00:00:00,2026-07-20 09:16:00,2,NIFTY,2026-07-21 00:00:00,24000,32764,1371,199931,6343,OK,10821,23.7,239.25,-97.6,280865,50765,104251,22.11,32.25,-4.1,4587505,1053260
2026-07-20 00:00:00,2026-07-20 09:16:00,2,NIFTY,2026-07-21 00:00:00,24050,13495,1043,77251,3897,OK,5235,25.37,202.5,-90.45,147420,42185,60470,21.05,42.4,-2.6,3349840,370630
2026-07-20 00:00:00,2026-07-20 09:16:00,2,NIFTY,2026-07-21 00:00:00,24100,47865,3160,164993,7435,OK,23902,23.89,165,-90.3,255125,78390,94853,20.91,57.25,1.8,4011215,1112605
2026-07-20 00:00:00,2026-07-20 09:16:00,2,NIFTY,2026-07-21 00:00:00,24150,38808,7576,131162,4981,OK,32410,24.2,133.45,-83.5,3308435,76115,86290,20.08,74.2,6.35,3927495,525460
2026-07-20 00:00:00,2026-07-20 09:16:00,2,NIFTY,2026-07-21 00:00:00,24200,107314,29394,218929,27230,OK,121673,22.61,105.7,-76.75,4069585,236860,181238,20.25,96.6,13.3,4659265,1468935
2026-07-20 00:00:00,2026-07-20 09:16:00,2,NIFTY,2026-07-21 00:00:00,24250,70312,26482,101242,13032,OK,120512,22.06,80.2,-71.15,3597620,227045,93901,20.16,123,21,3631095,470535
2026-07-20 00:00:00,2026-07-20 09:16:00,2,NIFTY,2026-07-21 00:00:00,24300,109739,15672,99687,-4178,OK,113193,21.46,60.2,-63.35,3946540,452595,75147,20.38,152,28.5,3761615,539565
2026-07-20 00:00:00,2026-07-20 09:16:00,2,NIFTY,2026-07-21 00:00:00,24350,58183,6485,29875,-2833,OK,71727,21.44,43.4,-54.8,3587610,170560,26498,19.06,186.15,38,259025,161395
2026-07-20 00:00:00,2026-07-20 09:16:00,2,NIFTY,2026-07-21 00:00:00,24400,89391,4308,23115,-1656,OK,85103,21.5,31.2,-45.6,3683615,288405,17141,18.99,221.4,45.35,163280,127075
2026-07-20 00:00:00,2026-07-20 09:16:00,2,NIFTY,2026-07-21 00:00:00,24450,44476,5994,5396,-1230,OK,57688,21.49,21.35,-36.75,3307915,157950,6443,14.92,263.5,55.8,63310,44070
2026-07-20 00:00:00,2026-07-20 09:16:00,2,NIFTY,2026-07-21 00:00:00,24500,117120,15273,21387,-1029,OK,137780,22.09,14.55,-28.65,4401020,362700,10372,0,304.75,62.35,282685,95940
2026-07-20 00:00:00,2026-07-20 09:16:00,2,NIFTY,2026-07-21 00:00:00,24550,46078,5806,2075,-807,OK,71555,22.01,9.85,-21.3,3406910,253695,1980,0,350.65,73.3,43355,36530
2026-07-20 00:00:00,2026-07-20 09:16:00,2,NIFTY,2026-07-21 00:00:00,24600,114262,9372,3773,-494,OK,114811,21.31,6.6,-15.35,4104035,724750,2273,0,398.3,77.4,141310,41795
2026-07-20 00:00:00,2026-07-20 09:17:00,3,NIFTY,2026-07-21 00:00:00,23800,5193,-271,128696,-1735,OK,1488,0,411,-103.3,159640,15665,92829,25.6,10.3,-5.25,3494855,376155
2026-07-20 00:00:00,2026-07-20 09:17:00,3,NIFTY,2026-07-21 00:00:00,23850,1576,74,57454,11181,OK,435,0,362.5,-100.75,48230,27820,66201,24.91,13.7,-5.45,3417830,183235
2026-07-20 00:00:00,2026-07-20 09:17:00,3,NIFTY,2026-07-21 00:00:00,23900,5283,34,85906,6368,OK,1904,0,314.95,-108.7,40560,34385,91208,24.54,18.9,-4.55,3615365,405015
2026-07-20 00:00:00,2026-07-20 09:17:00,3,NIFTY,2026-07-21 00:00:00,23950,4099,135,55381,1409,OK,1391,0,274,-104.6,53430,29510,57468,24.19,25.5,-4,3190330,189085
2026-07-20 00:00:00,2026-07-20 09:17:00,3,NIFTY,2026-07-21 00:00:00,24000,32764,1371,199931,6343,OK,11895,11.88,239.85,-97,284895,58955,117259,23.8,32.4,-3.95,4361695,1149265
2026-07-20 00:00:00,2026-07-20 09:17:00,3,NIFTY,2026-07-21 00:00:00,24050,13495,1043,77251,3897,OK,5911,15.26,196.15,-96.8,127205,29575,68471,23.4,44.7,-0.3,3377790,369525
2026-07-20 00:00:00,2026-07-20 09:17:00,3,NIFTY,2026-07-21 00:00:00,24100,47865,3160,164993,7435,OK,29479,16.04,157.75,-97.55,220025,89570,109830,23.33,62.05,6.6,4078035,1060670
2026-07-20 00:00:00,2026-07-20 09:17:00,3,NIFTY,2026-07-21 00:00:00,24150,38808,7576,131162,4981,OK,37292,16.71,129.5,-87.45,3304015,84370,97988,23.1,78.05,10.2,3955185,520650
2026-07-20 00:00:00,2026-07-20 09:17:00,3,NIFTY,2026-07-21 00:00:00,24200,107314,29394,218929,27230,OK,140034,17.35,100.45,-82,4145180,293150,208381,23.13,101.4,18.1,4651400,1328795
2026-07-20 00:00:00,2026-07-20 09:17:00,3,NIFTY,2026-07-21 00:00:00,24250,70312,26482,101242,13032,OK,134345,17.49,75.85,-75.5,3605290,249275,105343,23.04,129.5,27.5,3633565,436020
2026-07-20 00:00:00,2026-07-20 09:17:00,3,NIFTY,2026-07-21 00:00:00,24300,109739,15672,99687,-4178,OK,127602,17.53,56.85,-66.7,3966235,516620,84925,23.23,159,35.5,3757715,467805
2026-07-20 00:00:00,2026-07-20 09:17:00,3,NIFTY,2026-07-21 00:00:00,24350,58183,6485,29875,-2833,OK,80470,17.45,43.15,-55.05,3600285,322335,28807,23.39,186.7,38.55,249730,158730
2026-07-20 00:00:00,2026-07-20 09:17:00,3,NIFTY,2026-07-21 00:00:00,24400,89391,4308,23115,-1656,OK,98997,17.57,29.9,-46.9,3660605,325650,19045,23.62,227.9,51.85,156130,104780
2026-07-20 00:00:00,2026-07-20 09:17:00,3,NIFTY,2026-07-21 00:00:00,24450,44476,5994,5396,-1230,OK,67369,17.4,20.25,-37.85,3314480,173030,7080,24.53,273.6,65.9,64415,38740
2026-07-20 00:00:00,2026-07-20 09:17:00,3,NIFTY,2026-07-21 00:00:00,24500,117120,15273,21387,-1029,OK,154502,17.54,14.2,-29,4372940,469885,11864,25.24,312.5,70.1,343720,81055
2026-07-20 00:00:00,2026-07-20 09:17:00,3,NIFTY,2026-07-21 00:00:00,24550,46078,5806,2075,-807,OK,80987,17.49,9.35,-21.8,3334760,397215,2170,26.74,361.75,84.4,37700,25545
2026-07-20 00:00:00,2026-07-20 09:17:00,3,NIFTY,2026-07-21 00:00:00,24600,114262,9372,3773,-494,OK,130148,17.71,6.35,-15.6,4017520,670865,2530,28.03,408.4,87.5,135200,31915
2026-07-20 00:00:00,2026-07-20 09:18:00,4,NIFTY,2026-07-21 00:00:00,23800,5257,-207,128791,-1640,OK,1762,0,414.8,-99.5,193050,31655,134890,25.25,10.05,-5.5,3986840,545935
2026-07-20 00:00:00,2026-07-20 09:18:00,4,NIFTY,2026-07-21 00:00:00,23850,1562,60,61188,14915,OK,566,0,376.1,-87.15,52130,30810,88465,24.74,13,-6.15,3348670,412685
2026-07-20 00:00:00,2026-07-20 09:18:00,4,NIFTY,2026-07-21 00:00:00,23900,5319,70,96398,16860,OK,2647,0,329.35,-94.3,53950,39455,129441,24.44,17.25,-6.2,3547960,662220
2026-07-20 00:00:00,2026-07-20 09:18:00,4,NIFTY,2026-07-21 00:00:00,23950,4308,344,56419,2447,OK,1991,0,285.25,-93.35,60775,32500,77580,24.29,23.3,-6.2,3185325,293865
2026-07-20 00:00:00,2026-07-20 09:18:00,4,NIFTY,2026-07-21 00:00:00,24000,34408,3015,206483,12895,OK,16962,0,241.4,-95.45,314860,72605,180578,24.18,31.6,-4.75,4080505,1286805
2026-07-20 00:00:00,2026-07-20 09:18:00,4,NIFTY,2026-07-21 00:00:00,24050,13876,1424,85127,11773,OK,9545,0,202.6,-90.35,161590,41990,97383,24.12,42.25,-2.75,3449160,470990
2026-07-20 00:00:00,2026-07-20 09:18:00,4,NIFTY,2026-07-21 00:00:00,24100,48452,3747,172239,14681,OK,42218,6.37,167.45,-87.85,329810,131495,159763,24.37,55.9,0.45,4256980,1402375
2026-07-20 00:00:00,2026-07-20 09:18:00,4,NIFTY,2026-07-21 00:00:00,24150,40715,9483,127773,1592,OK,52019,11.59,134.4,-82.55,3381365,132080,148903,24.61,73.5,5.65,3953820,720655
2026-07-20 00:00:00,2026-07-20 09:18:00,4,NIFTY,2026-07-21 00:00:00,24200,121056,43136,229415,37716,OK,201193,13.36,105.8,-76.65,4504500,518635,298955,25.05,94.6,11.3,4745845,1822665
2026-07-20 00:00:00,2026-07-20 09:18:00,4,NIFTY,2026-07-21 00:00:00,24250,86545,42715,100328,12118,OK,184516,14.38,81.1,-70.25,3800160,436150,141277,25.62,120,18,3657290,638235
2026-07-20 00:00:00,2026-07-20 09:18:00,4,NIFTY,2026-07-21 00:00:00,24300,126976,32909,97720,-6145,OK,181925,15.04,60.45,-63.1,4295525,625690,118937,26.33,149.05,25.55,3791840,661310
2026-07-20 00:00:00,2026-07-20 09:18:00,4,NIFTY,2026-07-21 00:00:00,24350,63101,11403,28388,-4320,OK,123905,15.59,43.45,-54.75,3708315,226395,41959,27.17,183.4,35.25,272155,181935
2026-07-20 00:00:00,2026-07-20 09:18:00,4,NIFTY,2026-07-21 00:00:00,24400,92344,7261,22437,-2334,OK,145394,15.97,30.65,-46.15,3812250,364520,26158,28.36,220.6,44.55,146705,156520
2026-07-20 00:00:00,2026-07-20 09:18:00,4,NIFTY,2026-07-21 00:00:00,24450,46678,8196,5250,-1376,OK,92198,16.38,21.2,-36.9,3333720,188175,9451,29.8,259.85,52.15,62595,69615
2026-07-20 00:00:00,2026-07-20 09:18:00,4,NIFTY,2026-07-21 00:00:00,24500,125070,23223,19662,-2754,OK,208800,16.67,14.15,-29.05,4271345,594100,15504,31.59,302.75,60.35,250900,143975
2026-07-20 00:00:00,2026-07-20 09:18:00,4,NIFTY,2026-07-21 00:00:00,24550,49879,9607,1821,-1061,OK,115361,17.07,9.5,-21.65,3519230,506220,2571,33.69,347.85,70.5,42380,36985
2026-07-20 00:00:00,2026-07-20 09:18:00,4,NIFTY,2026-07-21 00:00:00,24600,116078,11188,3643,-624,OK,179386,17.48,6.25,-15.7,4519515,1031420,3080,36.19,393.55,72.65,146250,45435
2026-07-20 00:00:00,2026-07-20 09:19:00,5,NIFTY,2026-07-21 00:00:00,23800,5243,-221,127642,-2789,OK,2032,0,399.85,-114.45,174915,36270,162442,24.02,10.55,-5,4559230,512135
2026-07-20 00:00:00,2026-07-20 09:19:00,5,NIFTY,2026-07-21 00:00:00,23850,1558,56,62182,15909,OK,688,0,352.7,-110.55,51545,31395,104712,23.35,13.95,-5.2,3583255,277030
2026-07-20 00:00:00,2026-07-20 09:19:00,5,NIFTY,2026-07-21 00:00:00,23900,5415,166,97582,18044,OK,3261,0,307.95,-115.7,46410,48100,151078,22.89,18.65,-4.8,3743285,601640
2026-07-20 00:00:00,2026-07-20 09:19:00,5,NIFTY,2026-07-21 00:00:00,23950,4250,286,57779,3807,OK,2298,0,265,-113.6,61035,35555,99056,22.58,25.1,-4.4,3228095,254280
2026-07-20 00:00:00,2026-07-20 09:19:00,5,NIFTY,2026-07-21 00:00:00,24000,35000,3607,212730,19142,OK,20638,13.05,222.9,-113.95,273975,97175,221878,22.33,34.45,-1.9,4156685,1311440
2026-07-20 00:00:00,2026-07-20 09:19:00,5,NIFTY,2026-07-21 00:00:00,24050,13516,1064,88606,15252,OK,11587,14.99,185.05,-107.9,148525,54860,115135,22.22,46.15,1.15,3488745,500630
2026-07-20 00:00:00,2026-07-20 09:19:00,5,NIFTY,2026-07-21 00:00:00,24100,49484,4779,177743,20185,OK,51895,16.17,150.5,-104.8,277355,152880,198774,22.09,61.6,6.15,4335565,1384175
2026-07-20 00:00:00,2026-07-20 09:19:00,5,NIFTY,2026-07-21 00:00:00,24150,43048,11816,128216,2035,OK,63937,16.7,119.5,-97.45,3336970,164515,180488,22.12,80.55,12.7,4068545,686855
2026-07-20 00:00:00,2026-07-20 09:19:00,5,NIFTY,2026-07-21 00:00:00,24200,133920,56000,241313,49614,OK,255259,17.04,92.8,-89.65,4236960,752115,377423,22.32,104.6,21.3,5031845,1792310
2026-07-20 00:00:00,2026-07-20 09:19:00,5,NIFTY,2026-07-21 00:00:00,24250,96864,53034,101904,13694,OK,231800,17.32,69.9,-81.45,3588650,560105,172199,22.47,131.55,29.55,3747120,577525
2026-07-20 00:00:00,2026-07-20 09:19:00,5,NIFTY,2026-07-21 00:00:00,24300,133541,39474,101597,-2268,OK,228037,17.49,51.8,-71.75,4061200,729495,151089,22.88,162.4,38.9,3894735,618475
2026-07-20 00:00:00,2026-07-20 09:19:00,5,NIFTY,2026-07-21 00:00:00,24350,69056,17358,28153,-4555,OK,159684,17.65,36.75,-61.45,3540420,402610,49163,23.4,198.7,50.55,296660,149500
2026-07-20 00:00:00,2026-07-20 09:19:00,5,NIFTY,2026-07-21 00:00:00,24400,97713,12630,22918,-1853,OK,172739,17.69,25.65,-51.15,3685630,483080,32227,24.11,237.35,61.3,185120,122330
2026-07-20 00:00:00,2026-07-20 09:19:00,5,NIFTY,2026-07-21 00:00:00,24450,49378,10896,5569,-1057,OK,111668,17.97,17.55,-40.55,3308565,323635,11383,24.87,278.75,71.05,70850,50050
2026-07-20 00:00:00,2026-07-20 09:19:00,5,NIFTY,2026-07-21 00:00:00,24500,128875,27028,19604,-2812,OK,246967,18.07,12,-31.2,4101500,972335,17865,26.09,322.85,80.45,258895,121615
2026-07-20 00:00:00,2026-07-20 09:19:00,5,NIFTY,2026-07-21 00:00:00,24550,51962,11690,1791,-1091,OK,138281,18.33,8.1,-23.05,3334565,937495,2846,27.28,369.1,91.75,41015,32630
2026-07-20 00:00:00,2026-07-20 09:19:00,5,NIFTY,2026-07-21 00:00:00,24600,121311,16421,3640,-627,OK,212719,18.59,5.45,-16.5,4527380,1172210,3370,28.93,416.75,95.85,141700,37960
2026-07-20 00:00:00,2026-07-20 09:20:00,6,NIFTY,2026-07-21 00:00:00,23800,5359,-105,122909,-7522,OK,2251,0,397.75,-116.55,189150,40560,198863,24.14,10.05,-5.5,4109820,746395
2026-07-20 00:00:00,2026-07-20 09:20:00,6,NIFTY,2026-07-21 00:00:00,23850,1585,83,67876,21603,OK,820,0,352.1,-111.15,56030,33280,126452,23.44,13.1,-6.05,3416140,416390
2026-07-20 00:00:00,2026-07-20 09:20:00,6,NIFTY,2026-07-21 00:00:00,23900,5808,559,99042,19504,OK,3883,0,309.35,-114.3,48880,47190,179006,22.93,17.85,-5.6,3665220,618410
2026-07-20 00:00:00,2026-07-20 09:20:00,6,NIFTY,2026-07-21 00:00:00,23950,4421,457,55584,1612,OK,2739,0,263.3,-115.3,62920,33605,113911,22.58,24.4,-5.1,3246165,403000
2026-07-20 00:00:00,2026-07-20 09:20:00,6,NIFTY,2026-07-21 00:00:00,24000,37813,6420,219626,26038,OK,25452,11.51,224.25,-112.6,296140,114465,260528,22.31,33.2,-3.15,4229940,1410175
2026-07-20 00:00:00,2026-07-20 09:20:00,6,NIFTY,2026-07-21 00:00:00,24050,14228,1776,92534,19180,OK,13816,14.07,186.7,-106.25,159705,56095,137315,22.11,44.55,-0.45,3542825,579020
2026-07-20 00:00:00,2026-07-20 09:20:00,6,NIFTY,2026-07-21 00:00:00,24100,53894,9189,183740,26182,OK,62541,15.19,152,-103.3,326690,171340,238783,22.15,59.8,4.35,4391530,1573455
2026-07-20 00:00:00,2026-07-20 09:20:00,6,NIFTY,2026-07-21 00:00:00,24150,46873,15641,132926,6745,OK,78737,15.87,120.45,-96.5,3410290,196950,218584,22.31,79.4,11.55,4033185,748735
2026-07-20 00:00:00,2026-07-20 09:20:00,6,NIFTY,2026-07-21 00:00:00,24200,159867,81947,249378,57679,OK,322402,16.6,93.4,-89.05,4317885,845845,481725,22.51,102.2,18.9,5157750,2043210
2026-07-20 00:00:00,2026-07-20 09:20:00,6,NIFTY,2026-07-21 00:00:00,24250,117486,73656,105188,16978,OK,273784,16.69,70.4,-80.95,3778515,594360,210036,22.72,129,27,3775980,639275
2026-07-20 00:00:00,2026-07-20 09:20:00,6,NIFTY,2026-07-21 00:00:00,24300,143829,49762,109296,5431,OK,275130,17.01,51.1,-72.45,4188470,766805,190195,23.22,162.5,39,3910270,660985
2026-07-20 00:00:00,2026-07-20 09:20:00,6,NIFTY,2026-07-21 00:00:00,24350,85443,33745,28885,-3823,OK,191999,17.21,37.05,-61.15,3657030,382525,58951,23.68,196.4,48.25,312585,155025
2026-07-20 00:00:00,2026-07-20 09:20:00,6,NIFTY,2026-07-21 00:00:00,24400,103443,18360,23096,-1675,OK,199724,17.41,26.05,-50.75,3828565,452985,38128,24.46,234.25,58.2,171210,136695
