date_ist,minute_bucket_ist,run_id,symbol,alert_code,state,severity,value,message,meta
2026-07-23 00:00:00,2026-07-23 12:07:00,169,NIFTY,OPTION_MOMENTUM_CALL,ON,MED,1.75,ATM CALL momentum (ltp up + vol up),"{""dedupe_key"":""NIFTY|OPTION_MOMENTUM_CALL|ON|2026-07-23 12:07"",""threshold"":1.5,""value"":1.75,""since_minute_bucket_ist"":"""",""last_updated_ist"":""2026-07-23 12:07:00""}"
2026-07-23 00:00:00,2026-07-23 12:07:00,169,NIFTY,CHURN_COMMITTED,ON,MED,0.0002,Price move + aligned flow (committed),"{""dedupe_key"":""NIFTY|CHURN_COMMITTED|ON|2026-07-23 12:07"",""threshold"":0.0001,""value"":0.0002,""since_minute_bucket_ist"":"""",""last_updated_ist"":""2026-07-23 12:07:00""}"
2026-07-23 00:00:00,2026-07-23 12:08:00,170,NIFTY,FLOW_BULLISH_BUILD,OFF,HIGH,0.0005,Bullish build (premium-confirmed writing / support),"{""dedupe_key"":""NIFTY|FLOW_BULLISH_BUILD|OFF|2026-07-23 12:08"",""threshold"":0.005,""value"":0.0005,""since_minute_bucket_ist"":""2026-07-23 12:07"",""last_updated_ist"":""2026-07-23 12:08:00""}"
2026-07-23 00:00:00,2026-07-23 12:08:00,170,NIFTY,CHURN_COMMITTED,OFF,MED,0,Price move + aligned flow (committed),"{""dedupe_key"":""NIFTY|CHURN_COMMITTED|OFF|2026-07-23 12:08"",""threshold"":0.0001,""value"":0,""since_minute_bucket_ist"":""2026-07-23 12:07"",""last_updated_ist"":""2026-07-23 12:08:00""}"
2026-07-23 00:00:00,2026-07-23 12:09:00,171,NIFTY,WALL_UNWIND_CONFIRM_UP,ON,MED,-0.0079,Call wall OI unwinding (5m),"{""dedupe_key"":""NIFTY|WALL_UNWIND_CONFIRM_UP|ON|2026-07-23 12:09"",""threshold"":-0.006,""value"":-0.0079,""since_minute_bucket_ist"":"""",""last_updated_ist"":""2026-07-23 12:09:00""}"
2026-07-23 00:00:00,2026-07-23 12:10:00,172,NIFTY,REGIME_RANGE_PIN,OFF,LOW,0.0002,Range / pin (inside local walls),"{""dedupe_key"":""NIFTY|REGIME_RANGE_PIN|OFF|2026-07-23 12:10"",""threshold"":0.001,""value"":0.0002,""since_minute_bucket_ist"":""2026-07-23 12:03"",""last_updated_ist"":""2026-07-23 12:10:00""}"
2026-07-23 00:00:00,2026-07-23 12:10:00,172,NIFTY,REGIME_TRANSITION_UNCERTAIN,ON,LOW,1,Transition/uncertain regime,"{""dedupe_key"":""NIFTY|REGIME_TRANSITION_UNCERTAIN|ON|2026-07-23 12:10"",""threshold"":1,""value"":1,""since_minute_bucket_ist"":"""",""last_updated_ist"":""2026-07-23 12:10:00""}"
2026-07-23 00:00:00,2026-07-23 12:10:00,172,NIFTY,EXP_RANGE_BREAKOUT_WATCH_UP,ON,MED,23960.7,Expected-range watch UP,"{""dedupe_key"":""NIFTY|EXP_RANGE_BREAKOUT_WATCH_UP|ON|2026-07-23 12:10"",""threshold"":23956.34,""value"":23960.7,""since_minute_bucket_ist"":"""",""last_updated_ist"":""2026-07-23 12:10:00""}"
2026-07-23 00:00:00,2026-07-23 12:10:00,172,NIFTY,OPTION_MOMENTUM_CALL,OFF,MED,0.8,ATM CALL momentum (ltp up + vol up),"{""dedupe_key"":""NIFTY|OPTION_MOMENTUM_CALL|OFF|2026-07-23 12:10"",""threshold"":1.5,""value"":0.8,""since_minute_bucket_ist"":""2026-07-23 12:07"",""last_updated_ist"":""2026-07-23 12:10:00""}"
2026-07-23 00:00:00,2026-07-23 12:11:00,173,NIFTY,FLOW_BEARISH_BUILD,ON,HIGH,0.0028,Bearish build (premium-confirmed writing / resistance),"{""dedupe_key"":""NIFTY|FLOW_BEARISH_BUILD|ON|2026-07-23 12:11"",""threshold"":0.005,""value"":0.0028,""since_minute_bucket_ist"":"""",""last_updated_ist"":""2026-07-23 12:11:00""}"
2026-07-23 00:00:00,2026-07-23 12:11:00,173,NIFTY,REGIME_RANGE_PIN,ON,LOW,0.0003,Range / pin (inside local walls),"{""dedupe_key"":""NIFTY|REGIME_RANGE_PIN|ON|2026-07-23 12:11"",""threshold"":0.001,""value"":0.0003,""since_minute_bucket_ist"":"""",""last_updated_ist"":""2026-07-23 12:11:00""}"
2026-07-23 00:00:00,2026-07-23 12:11:00,173,NIFTY,REGIME_TRANSITION_UNCERTAIN,OFF,LOW,1,Transition/uncertain regime,"{""dedupe_key"":""NIFTY|REGIME_TRANSITION_UNCERTAIN|OFF|2026-07-23 12:11"",""threshold"":1,""value"":1,""since_minute_bucket_ist"":""2026-07-23 12:10"",""last_updated_ist"":""2026-07-23 12:11:00""}"
2026-07-23 00:00:00,2026-07-23 12:11:00,173,NIFTY,EXP_RANGE_BREAKOUT_WATCH_UP,OFF,MED,23946.15,Expected-range watch UP,"{""dedupe_key"":""NIFTY|EXP_RANGE_BREAKOUT_WATCH_UP|OFF|2026-07-23 12:11"",""threshold"":23956.3,""value"":23946.15,""since_minute_bucket_ist"":""2026-07-23 12:10"",""last_updated_ist"":""2026-07-23 12:11:00""}"
2026-07-23 00:00:00,2026-07-23 12:11:00,173,NIFTY,OPTION_MOMENTUM_PUT,ON,MED,2.5,ATM PUT momentum (ltp up + vol up),"{""dedupe_key"":""NIFTY|OPTION_MOMENTUM_PUT|ON|2026-07-23 12:11"",""threshold"":1.5,""value"":2.5,""since_minute_bucket_ist"":"""",""last_updated_ist"":""2026-07-23 12:11:00""}"
2026-07-23 00:00:00,2026-07-23 12:11:00,173,NIFTY,CHURN_COMMITTED,ON,MED,-0.0006,Price move + aligned flow (committed),"{""dedupe_key"":""NIFTY|CHURN_COMMITTED|ON|2026-07-23 12:11"",""threshold"":0.0001,""value"":-0.0006,""since_minute_bucket_ist"":"""",""last_updated_ist"":""2026-07-23 12:11:00""}"
2026-07-23 00:00:00,2026-07-23 12:11:00,173,NIFTY,BULL_TRAP,ON,HIGH,1,Bull trap: failed upside breakout + bearish flow,"{""dedupe_key"":""NIFTY|BULL_TRAP|ON|2026-07-23 12:11"",""threshold"":1,""value"":1,""since_minute_bucket_ist"":"""",""last_updated_ist"":""2026-07-23 12:11:00""}"
2026-07-23 00:00:00,2026-07-23 12:12:00,174,NIFTY,FLOW_BULLISH_BUILD,ON,HIGH,0.0012,Bullish build (premium-confirmed writing / support),"{""dedupe_key"":""NIFTY|FLOW_BULLISH_BUILD|ON|2026-07-23 12:12"",""threshold"":0.005,""value"":0.0012,""since_minute_bucket_ist"":"""",""last_updated_ist"":""2026-07-23 12:12:00""}"
2026-07-23 00:00:00,2026-07-23 12:12:00,174,NIFTY,FLOW_BEARISH_BUILD,OFF,HIGH,-0.0028,Bearish build (premium-confirmed writing / resistance),"{""dedupe_key"":""NIFTY|FLOW_BEARISH_BUILD|OFF|2026-07-23 12:12"",""threshold"":0.005,""value"":-0.0028,""since_minute_bucket_ist"":""2026-07-23 12:11"",""last_updated_ist"":""2026-07-23 12:12:00""}"
2026-07-23 00:00:00,2026-07-23 12:12:00,174,NIFTY,EXP_RANGE_BREAKOUT_WATCH_DOWN,ON,MED,23939.45,Expected-range watch DOWN,"{""dedupe_key"":""NIFTY|EXP_RANGE_BREAKOUT_WATCH_DOWN|ON|2026-07-23 12:12"",""threshold"":23942.07,""value"":23939.45,""since_minute_bucket_ist"":"""",""last_updated_ist"":""2026-07-23 12:12:00""}"
2026-07-23 00:00:00,2026-07-23 12:12:00,174,NIFTY,OPTION_MOMENTUM_PUT,OFF,MED,1,ATM PUT momentum (ltp up + vol up),"{""dedupe_key"":""NIFTY|OPTION_MOMENTUM_PUT|OFF|2026-07-23 12:12"",""threshold"":1.5,""value"":1,""since_minute_bucket_ist"":""2026-07-23 12:11"",""last_updated_ist"":""2026-07-23 12:12:00""}"
2026-07-23 00:00:00,2026-07-23 12:12:00,174,NIFTY,WALL_UNWIND_CONFIRM_DOWN,ON,MED,-0.0068,Put wall OI unwinding (5m),"{""dedupe_key"":""NIFTY|WALL_UNWIND_CONFIRM_DOWN|ON|2026-07-23 12:12"",""threshold"":-0.006,""value"":-0.0068,""since_minute_bucket_ist"":"""",""last_updated_ist"":""2026-07-23 12:12:00""}"
2026-07-23 00:00:00,2026-07-23 12:12:00,174,NIFTY,CHURN_COMMITTED,OFF,MED,-0.0003,Price move + aligned flow (committed),"{""dedupe_key"":""NIFTY|CHURN_COMMITTED|OFF|2026-07-23 12:12"",""threshold"":0.0001,""value"":-0.0003,""since_minute_bucket_ist"":""2026-07-23 12:11"",""last_updated_ist"":""2026-07-23 12:12:00""}"
2026-07-23 00:00:00,2026-07-23 12:12:00,174,NIFTY,BULL_TRAP,OFF,HIGH,1,Bull trap: failed upside breakout + bearish flow,"{""dedupe_key"":""NIFTY|BULL_TRAP|OFF|2026-07-23 12:12"",""threshold"":1,""value"":1,""since_minute_bucket_ist"":""2026-07-23 12:11"",""last_updated_ist"":""2026-07-23 12:12:00""}"
2026-07-23 00:00:00,2026-07-23 12:13:00,175,NIFTY,FLOW_BULLISH_BUILD,OFF,HIGH,0,Bullish build (premium-confirmed writing / support),"{""dedupe_key"":""NIFTY|FLOW_BULLISH_BUILD|OFF|2026-07-23 12:13"",""threshold"":0.005,""value"":0,""since_minute_bucket_ist"":""2026-07-23 12:12"",""last_updated_ist"":""2026-07-23 12:13:00""}"
2026-07-23 00:00:00,2026-07-23 12:13:00,175,NIFTY,EXP_RANGE_BREAKOUT_CONFIRMED_DOWN,ON,HIGH,2,Expected-range breakout CONFIRMED DOWN,"{""dedupe_key"":""NIFTY|EXP_RANGE_BREAKOUT_CONFIRMED_DOWN|ON|2026-07-23 12:13"",""threshold"":2,""value"":2,""since_minute_bucket_ist"":"""",""last_updated_ist"":""2026-07-23 12:13:00""}"
2026-07-23 00:00:00,2026-07-23 12:14:00,176,NIFTY,REGIME_RANGE_PIN,OFF,LOW,0.0003,Range / pin (inside local walls),"{""dedupe_key"":""NIFTY|REGIME_RANGE_PIN|OFF|2026-07-23 12:14"",""threshold"":0.001,""value"":0.0003,""since_minute_bucket_ist"":""2026-07-23 12:11"",""last_updated_ist"":""2026-07-23 12:14:00""}"
2026-07-23 00:00:00,2026-07-23 12:14:00,176,NIFTY,REGIME_TRANSITION_UNCERTAIN,ON,LOW,1,Transition/uncertain regime,"{""dedupe_key"":""NIFTY|REGIME_TRANSITION_UNCERTAIN|ON|2026-07-23 12:14"",""threshold"":1,""value"":1,""since_minute_bucket_ist"":"""",""last_updated_ist"":""2026-07-23 12:14:00""}"
