date_ist,minute_bucket_ist,run_id,symbol,expiry_used,signal,strike,moneyness,setup,confidence,reason,stop_underlying,target_underlying,stop_premium_pct,target_premium_pct
2026-07-30 00:00:00,2026-07-30 09:38:00,24,NIFTY,2026-08-04 00:00:00,ENTRY_PUT,24250,ATM,BREAKOUT_DOWN,78,"Breakout DOWN held + bearish flow + PUT momentum | PUT_MOM,WALL_UNWIND_DOWN,COMMITTED",24338.5425,24126.547499999997,-30,40
2026-07-30 00:00:00,2026-07-30 09:41:00,27,NIFTY,2026-08-04 00:00:00,ENTRY_PUT,24250,ATM,BREAKOUT_DOWN,78,"Breakout DOWN held + bearish flow + PUT momentum | PUT_MOM,WALL_UNWIND_DOWN,COMMITTED",24331.325,24122.075,-30,40
2026-07-30 00:00:00,2026-07-30 10:05:00,51,NIFTY,2026-08-04 00:00:00,SETUP_CALL,24250,ATM,PIN_BREAK,55,"Pin break UP setup | PIN,RANGE",,,,
2026-07-30 00:00:00,2026-07-30 10:10:00,56,NIFTY,2026-08-04 00:00:00,SETUP_PUT,24250,ATM,BREAKOUT_DOWN,58,Breakout DOWN setup (waiting for flow/momentum/unwind) | RANGE,,,,
2026-07-30 00:00:00,2026-07-30 10:11:00,57,NIFTY,2026-08-04 00:00:00,SETUP_PUT,24300,ITM1,BREAKOUT_DOWN,58,Breakout DOWN setup (waiting for flow/momentum/unwind) | WALL_UNWIND_DOWN,,,,
2026-07-30 00:00:00,2026-07-30 10:12:00,58,NIFTY,2026-08-04 00:00:00,SETUP_PUT,24300,ITM1,BREAKOUT_DOWN,66,"Breakout DOWN setup (waiting for flow/momentum/unwind) | WALL_UNWIND_DOWN,COMMITTED",,,,
2026-07-30 00:00:00,2026-07-30 10:13:00,59,NIFTY,2026-08-04 00:00:00,SETUP_PUT,24250,ATM,BREAKOUT_DOWN,58,"Breakout DOWN setup (waiting for flow/momentum/unwind) | PUT_MOM,WALL_UNWIND_DOWN",,,,
2026-07-30 00:00:00,2026-07-30 10:29:00,75,NIFTY,2026-08-04 00:00:00,ENTRY_PUT,24250,ATM,PIN_BREAK,76,"Pin break DOWN + PUT momentum + confirm | PUT_MOM,WALL_UNWIND_DOWN,COMMITTED,PIN,RANGE",24316.315,24109.405,-30,40
2026-07-30 00:00:00,2026-07-30 10:30:00,76,NIFTY,2026-08-04 00:00:00,SETUP_PUT,24300,ITM1,PIN_BREAK,64,"Pin break DOWN + PUT momentum + confirm | gated (time/limit) | TRADE_LIMIT,VOL_EXP,PUT_MOM,WALL_UNWIND_DOWN,COMMITTED,PIN",,,,
2026-07-30 00:00:00,2026-07-30 10:45:00,91,NIFTY,2026-08-04 00:00:00,SETUP_CALL,24250,ATM,BREAKOUT_UP,58,"Breakout UP setup (waiting for flow/momentum/unwind) | CALL_MOM,WALL_UNWIND_UP",,,,
