date_ist,minute_bucket_ist,run_id,symbol,alert_code,state,severity,value,message,meta
2026-07-31 00:00:00,2026-07-31 09:15:00,1,NIFTY,REGIME_RANGE_PIN,ON,LOW,0,Range / pin (inside local walls),"{""dedupe_key"":""NIFTY|REGIME_RANGE_PIN|ON|2026-07-31 09:15"",""threshold"":0.001,""value"":0,""since_minute_bucket_ist"":"""",""last_updated_ist"":""2026-07-31 09:15:00""}"
2026-07-31 00:00:00,2026-07-31 09:16:00,2,NIFTY,REGIME_RANGE_PIN,OFF,LOW,0,Range / pin (inside local walls),"{""dedupe_key"":""NIFTY|REGIME_RANGE_PIN|OFF|2026-07-31 09:16"",""threshold"":0.001,""value"":0,""since_minute_bucket_ist"":""2026-07-31 09:15"",""last_updated_ist"":""2026-07-31 09:16:00""}"
2026-07-31 00:00:00,2026-07-31 09:16:00,2,NIFTY,REGIME_TRANSITION_UNCERTAIN,ON,LOW,1,Transition/uncertain regime,"{""dedupe_key"":""NIFTY|REGIME_TRANSITION_UNCERTAIN|ON|2026-07-31 09:16"",""threshold"":1,""value"":1,""since_minute_bucket_ist"":"""",""last_updated_ist"":""2026-07-31 09:16:00""}"
2026-07-31 00:00:00,2026-07-31 09:17:00,3,NIFTY,FLOW_BOTH_BUILDING,ON,MED,0.0856,Both sides building (straddle build) → higher chop risk,"{""dedupe_key"":""NIFTY|FLOW_BOTH_BUILDING|ON|2026-07-31 09:17"",""threshold"":0.005,""value"":0.0856,""since_minute_bucket_ist"":"""",""last_updated_ist"":""2026-07-31 09:17:00""}"
2026-07-31 00:00:00,2026-07-31 09:17:00,3,NIFTY,OPTION_MOMENTUM_PUT,ON,MED,1.75,ATM PUT momentum (ltp up + vol up),"{""dedupe_key"":""NIFTY|OPTION_MOMENTUM_PUT|ON|2026-07-31 09:17"",""threshold"":1.5,""value"":1.75,""since_minute_bucket_ist"":"""",""last_updated_ist"":""2026-07-31 09:17:00""}"
2026-07-31 00:00:00,2026-07-31 09:17:00,3,NIFTY,WALL_SHIFT_REGIME,ON,MED,1,Wall strike shifted materially (>= 1 step),"{""dedupe_key"":""NIFTY|WALL_SHIFT_REGIME|ON|2026-07-31 09:17"",""threshold"":1,""value"":1,""since_minute_bucket_ist"":"""",""last_updated_ist"":""2026-07-31 09:17:00""}"
2026-07-31 00:00:00,2026-07-31 09:18:00,4,NIFTY,REGIME_RANGE_PIN,ON,LOW,0,Range / pin (inside local walls),"{""dedupe_key"":""NIFTY|REGIME_RANGE_PIN|ON|2026-07-31 09:18"",""threshold"":0.001,""value"":0,""since_minute_bucket_ist"":"""",""last_updated_ist"":""2026-07-31 09:18:00""}"
2026-07-31 00:00:00,2026-07-31 09:18:00,4,NIFTY,REGIME_TRANSITION_UNCERTAIN,OFF,LOW,1,Transition/uncertain regime,"{""dedupe_key"":""NIFTY|REGIME_TRANSITION_UNCERTAIN|OFF|2026-07-31 09:18"",""threshold"":1,""value"":1,""since_minute_bucket_ist"":""2026-07-31 09:16"",""last_updated_ist"":""2026-07-31 09:18:00""}"
2026-07-31 00:00:00,2026-07-31 09:18:00,4,NIFTY,WALL_SHIFT_REGIME,OFF,MED,1,Wall strike shifted materially (>= 1 step),"{""dedupe_key"":""NIFTY|WALL_SHIFT_REGIME|OFF|2026-07-31 09:18"",""threshold"":1,""value"":1,""since_minute_bucket_ist"":""2026-07-31 09:17"",""last_updated_ist"":""2026-07-31 09:18:00""}"
2026-07-31 00:00:00,2026-07-31 09:19:00,5,NIFTY,REGIME_RANGE_PIN,OFF,LOW,0,Range / pin (inside local walls),"{""dedupe_key"":""NIFTY|REGIME_RANGE_PIN|OFF|2026-07-31 09:19"",""threshold"":0.001,""value"":0,""since_minute_bucket_ist"":""2026-07-31 09:18"",""last_updated_ist"":""2026-07-31 09:19:00""}"
2026-07-31 00:00:00,2026-07-31 09:19:00,5,NIFTY,REGIME_TRANSITION_UNCERTAIN,ON,LOW,1,Transition/uncertain regime,"{""dedupe_key"":""NIFTY|REGIME_TRANSITION_UNCERTAIN|ON|2026-07-31 09:19"",""threshold"":1,""value"":1,""since_minute_bucket_ist"":"""",""last_updated_ist"":""2026-07-31 09:19:00""}"
2026-07-31 00:00:00,2026-07-31 09:19:00,5,NIFTY,OPTION_MOMENTUM_CALL,ON,MED,1.85,ATM CALL momentum (ltp up + vol up),"{""dedupe_key"":""NIFTY|OPTION_MOMENTUM_CALL|ON|2026-07-31 09:19"",""threshold"":1.5,""value"":1.85,""since_minute_bucket_ist"":"""",""last_updated_ist"":""2026-07-31 09:19:00""}"
2026-07-31 00:00:00,2026-07-31 09:19:00,5,NIFTY,OPTION_MOMENTUM_PUT,OFF,MED,-2.6,ATM PUT momentum (ltp up + vol up),"{""dedupe_key"":""NIFTY|OPTION_MOMENTUM_PUT|OFF|2026-07-31 09:19"",""threshold"":1.5,""value"":-2.6,""since_minute_bucket_ist"":""2026-07-31 09:17"",""last_updated_ist"":""2026-07-31 09:19:00""}"
2026-07-31 00:00:00,2026-07-31 09:19:00,5,NIFTY,WALL_SHIFT_REGIME,ON,MED,1,Wall strike shifted materially (>= 1 step),"{""dedupe_key"":""NIFTY|WALL_SHIFT_REGIME|ON|2026-07-31 09:19"",""threshold"":1,""value"":1,""since_minute_bucket_ist"":"""",""last_updated_ist"":""2026-07-31 09:19:00""}"
