date_ist,minute_bucket_ist,run_id,symbol,expiry_used,signal,strike,moneyness,setup,confidence,reason,stop_underlying,target_underlying,stop_premium_pct,target_premium_pct
2026-07-31 00:00:00,2026-07-31 15:04:00,348,NIFTY,2026-08-04 00:00:00,SETUP_CALL,24400,ATM,BREAKOUT_UP,58,"Breakout UP setup (waiting for flow/momentum/unwind) | WALL_UNWIND_UP,WALL_UNWIND_DOWN",,,,
2026-07-31 00:00:00,2026-07-31 15:05:00,349,NIFTY,2026-08-04 00:00:00,SETUP_CALL,24400,ATM,BREAKOUT_UP,58,"Breakout UP setup (waiting for flow/momentum/unwind) | WALL_UNWIND_UP,WALL_UNWIND_DOWN",,,,
2026-07-31 00:00:00,2026-07-31 15:08:00,352,NIFTY,2026-08-04 00:00:00,SETUP_CALL,24400,ATM,BREAKOUT_UP,58,"Breakout UP setup (waiting for flow/momentum/unwind) | WALL_UNWIND_UP,WALL_UNWIND_DOWN",,,,
2026-07-31 00:00:00,2026-07-31 15:09:00,353,NIFTY,2026-08-04 00:00:00,SETUP_CALL,24400,ATM,BREAKOUT_UP,46,"Breakout UP setup (waiting for flow/momentum/unwind) | WALL_UNWIND_UP,WALL_SHIFT",,,,
2026-07-31 00:00:00,2026-07-31 15:17:00,361,NIFTY,2026-08-04 00:00:00,SETUP_PUT,24450,ITM1,BREAKOUT_DOWN,58,"Breakout DOWN setup (waiting for flow/momentum/unwind) | VOL_EXP,WALL_UNWIND_UP,RANGE",,,,
2026-07-31 00:00:00,2026-07-31 15:18:00,362,NIFTY,2026-08-04 00:00:00,SETUP_PUT,24450,ITM1,BREAKOUT_DOWN,36,"Breakout DOWN setup (waiting for flow/momentum/unwind) | VOL_EXP,WALL_UNWIND_DOWN,WALL_SHIFT,RANGE,CHOP",,,,
2026-07-31 00:00:00,2026-07-31 15:19:00,363,NIFTY,2026-08-04 00:00:00,SETUP_PUT,24400,ATM,BREAKOUT_DOWN,58,"Breakout DOWN setup (waiting for flow/momentum/unwind) | VOL_EXP,CALL_MOM,RANGE",,,,
2026-07-31 00:00:00,2026-07-31 15:20:00,364,NIFTY,2026-08-04 00:00:00,SETUP_PUT,24450,ITM1,BREAKOUT_DOWN,58,Breakout DOWN setup (waiting for flow/momentum/unwind) | VOL_EXP,,,,
2026-07-31 00:00:00,2026-07-31 15:21:00,365,NIFTY,2026-08-04 00:00:00,SETUP_PUT,24400,ATM,BREAKOUT_DOWN,58,Breakout DOWN setup (waiting for flow/momentum/unwind) | RANGE,,,,
2026-07-31 00:00:00,2026-07-31 15:22:00,366,NIFTY,2026-08-04 00:00:00,SETUP_PUT,24400,ATM,BREAKOUT_DOWN,58,Breakout DOWN setup (waiting for flow/momentum/unwind) | RANGE,,,,
2026-07-31 00:00:00,2026-07-31 15:27:00,371,NIFTY,2026-08-04 00:00:00,SETUP_PUT,24400,ATM,BREAKOUT_DOWN,58,"Breakout DOWN setup (waiting for flow/momentum/unwind) | TIME_GATE,WALL_UNWIND_UP,TAIL_HIGH,RANGE",,,,
2026-07-31 00:00:00,2026-07-31 15:28:00,372,NIFTY,2026-08-04 00:00:00,SETUP_PUT,24350,ATM,BREAKOUT_DOWN,58,"Breakout DOWN setup (waiting for flow/momentum/unwind) | TIME_GATE,VOL_EXP,WALL_UNWIND_UP,TAIL_HIGH,RANGE",,,,
2026-07-31 00:00:00,2026-07-31 15:29:00,373,NIFTY,2026-08-04 00:00:00,SETUP_PUT,24350,ATM,BREAKOUT_DOWN,58,"Breakout DOWN setup (waiting for flow/momentum/unwind) | TIME_GATE,TRADE_LIMIT,WALL_UNWIND_UP,TAIL_HIGH",,,,
2026-07-31 00:00:00,2026-07-31 15:30:00,374,NIFTY,2026-08-04 00:00:00,SETUP_PUT,24350,ATM,BREAKOUT_DOWN,58,"Breakout DOWN setup (waiting for flow/momentum/unwind) | TIME_GATE,WALL_UNWIND_UP,TAIL_HIGH",,,,
