date_ist,entry_bucket_ist,exit_bucket_ist,symbol,side,strike,expiry_token,setup,entry_confidence,qty,entry_opt_ltp,exit_opt_ltp,hold_min,realized_pct,realized_pts,mfe_pct,mfe_opt_ltp,mfe_bucket_ist,mae_pct,mae_opt_ltp,mae_bucket_ist,exit_reason
2026-07-28 00:00:00,2026-07-28 10:03:00,2026-07-28 10:17:00,NIFTY,PUT,24000,26721,BREAKOUT_DOWN,82,65,52.3,36,14,-31.17,-16.3,9.75,57.4,2026-07-28 10:07:00,-31.17,36,2026-07-28 10:17:00,STOP_PREMIUM -31.17% <= -30%
2026-07-28 00:00:00,2026-07-28 10:34:00,2026-07-28 10:44:00,NIFTY,CALL,24000,26721,BREAKOUT_UP,70,65,38.15,44.9,10,17.69,6.75,17.69,44.9,2026-07-28 10:44:00,-6.95,35.5,2026-07-28 10:35:00,SWITCH CALL|23950|26721
2026-07-28 00:00:00,2026-07-28 10:44:00,2026-07-28 11:12:00,NIFTY,CALL,23950,26721,BREAKOUT_UP,82,65,79.5,74.55,28,-6.23,-4.95,15.09,91.5,2026-07-28 10:55:00,-6.23,74.55,2026-07-28 11:12:00,SIGNAL_FLIP ENTRY_PUT (conf 72)
2026-07-28 00:00:00,2026-07-28 11:12:00,2026-07-28 11:18:00,NIFTY,PUT,24000,26721,PIN_BREAK,72,65,26.8,22.9,6,-14.55,-3.9,0.37,26.9,2026-07-28 11:13:00,-14.55,22.9,2026-07-28 11:18:00,REGIME_OPPOSITE persisted 2m
2026-07-28 00:00:00,2026-07-28 11:44:00,2026-07-28 11:56:00,NIFTY,CALL,23950,26721,BREAKOUT_UP,74,65,82.1,67.85,12,-17.36,-14.25,12.67,92.5,2026-07-28 11:49:00,-17.36,67.85,2026-07-28 11:56:00,SIGNAL_FLIP ENTRY_PUT (conf 72)
2026-07-28 00:00:00,2026-07-28 11:56:00,2026-07-28 12:07:00,NIFTY,PUT,24000,26721,PIN_BREAK,72,65,25.4,19.5,11,-23.23,-5.9,4.33,26.5,2026-07-28 12:02:00,-23.23,19.5,2026-07-28 12:07:00,REGIME_OPPOSITE persisted 2m
2026-07-28 00:00:00,2026-07-28 13:00:00,2026-07-28 13:11:00,NIFTY,PUT,24000,26721,BREAKOUT_DOWN,70,65,22.7,31.9,11,40.53,9.2,40.53,31.9,2026-07-28 13:11:00,0,22.7,2026-07-28 13:00:00,TARGET_PREMIUM 40.53% >= 40%
2026-07-28 00:00:00,2026-07-28 13:14:00,2026-07-28 13:51:00,NIFTY,PUT,24000,26721,BREAKOUT_DOWN,82,65,36,24.55,37,-31.81,-11.45,13.61,40.9,2026-07-28 13:20:00,-31.81,24.55,2026-07-28 13:51:00,STOP_PREMIUM -31.81% <= -30%
2026-07-28 00:00:00,2026-07-28 14:29:00,2026-07-28 14:37:00,NIFTY,PUT,24000,26721,PIN_BREAK,72,65,25.4,23.5,8,-7.48,-1.9,27.17,32.3,2026-07-28 14:34:00,-7.48,23.5,2026-07-28 14:37:00,TRAIL_STOP peak+27.17% -> -7.48% (gaveback 18%)
2026-07-28 00:00:00,2026-07-28 15:13:00,2026-07-28 15:21:00,NIFTY,CALL,23900,26721,PIN_BREAK,64,65,65.15,92.6,8,42.13,27.45,42.13,92.6,2026-07-28 15:21:00,-0.92,64.55,2026-07-28 15:14:00,TARGET_PREMIUM 42.13% >= 40%
