date_ist,entry_bucket_ist,exit_bucket_ist,symbol,side,strike,expiry_token,setup,entry_confidence,qty,entry_opt_ltp,exit_opt_ltp,hold_min,realized_pct,realized_pts,mfe_pct,mfe_opt_ltp,mfe_bucket_ist,mae_pct,mae_opt_ltp,mae_bucket_ist,exit_reason
2026-08-03 00:00:00,2026-08-03 09:30:00,2026-08-03 09:56:00,NIFTY,CALL,24550,26721,TREND_UP,68,65,70.85,74.4,26,5.01,3.55,5.01,74.4,2026-08-03 09:56:00,-5.29,67.1,2026-08-03 09:48:00,SWITCH CALL|24500|26721
2026-08-03 00:00:00,2026-08-03 09:56:00,2026-08-03 10:15:00,NIFTY,CALL,24500,26721,BREAKOUT_UP,76,65,106.8,114.9,19,7.58,8.1,7.58,114.9,2026-08-03 10:15:00,-2.29,104.35,2026-08-03 10:04:00,SWITCH CALL|24550|26721
2026-08-03 00:00:00,2026-08-03 10:15:00,2026-08-03 12:39:00,NIFTY,CALL,24550,26721,BREAKOUT_UP,76,65,80.9,81.75,144,1.05,0.85,15.7,93.6,2026-08-03 12:17:00,-4.26,77.45,2026-08-03 10:36:00,REGIME_OPPOSITE persisted 2m
2026-08-03 00:00:00,2026-08-03 13:04:00,2026-08-03 13:12:00,NIFTY,PUT,24600,26721,BREAKOUT_DOWN,74,65,79.25,79,8,-0.32,-0.25,0,79.25,2026-08-03 13:04:00,-5.8,74.65,2026-08-03 13:11:00,SWITCH PUT|24650|26721
2026-08-03 00:00:00,2026-08-03 13:12:00,2026-08-03 15:28:00,NIFTY,PUT,24650,26721,BULL_TRAP,74,65,111.85,104,136,-7.02,-7.85,0,111.85,2026-08-03 13:12:00,-18.06,91.65,2026-08-03 13:37:00,FORCE_EXIT_TIME 15:28 >= 15:28
