date_ist,minute_bucket_ist,run_id,symbol,expiry_used,signal,strike,moneyness,setup,confidence,reason,stop_underlying,target_underlying,stop_premium_pct,target_premium_pct
2026-08-03 00:00:00,2026-08-03 13:54:00,280,NIFTY,2026-08-04 00:00:00,SETUP_PUT,24600,ATM,BREAKOUT_DOWN,58,Breakout DOWN setup (waiting for flow/momentum/unwind) | TAIL_HIGH,,,,
2026-08-03 00:00:00,2026-08-03 13:55:00,281,NIFTY,2026-08-04 00:00:00,SETUP_PUT,24600,ATM,BREAKOUT_DOWN,46,"Breakout DOWN setup (waiting for flow/momentum/unwind) | VOL_EXP,WALL_SHIFT,TAIL_HIGH,RANGE",,,,
2026-08-03 00:00:00,2026-08-03 14:14:00,300,NIFTY,2026-08-04 00:00:00,SETUP_CALL,24550,ITM1,BREAKOUT_UP,52,"Breakout UP setup (waiting for flow/momentum/unwind) | PUT_MOM,WALL_UNWIND_UP,TAIL_HIGH,RANGE",,,,
2026-08-03 00:00:00,2026-08-03 14:19:00,305,NIFTY,2026-08-04 00:00:00,SETUP_PUT,24600,ATM,BREAKOUT_DOWN,58,"Breakout DOWN setup (waiting for flow/momentum/unwind) | VOL_EXP,TAIL_HIGH,RANGE",,,,
2026-08-03 00:00:00,2026-08-03 14:20:00,306,NIFTY,2026-08-04 00:00:00,SETUP_CALL,24550,ITM1,PIN_BREAK,57,"Pin break UP setup | VOL_EXP,WALL_UNWIND_UP,COMMITTED,TAIL_HIGH,PIN,RANGE",,,,
2026-08-03 00:00:00,2026-08-03 14:29:00,315,NIFTY,2026-08-04 00:00:00,ENTRY_PUT,24650,ITM1,BULL_TRAP,66,"Bull trap + bearish flow + PUT momentum | PUT_MOM,WALL_UNWIND_DOWN,TAIL_HIGH,RANGE,BULL_TRAP",24612.5,24490.65,-20,25
2026-08-03 00:00:00,2026-08-03 14:35:00,321,NIFTY,2026-08-04 00:00:00,SETUP_CALL,24550,ITM1,PIN_BREAK,57,"Pin break UP setup | VOL_EXP,WALL_UNWIND_UP,COMMITTED,TAIL_HIGH,PIN",,,,
2026-08-03 00:00:00,2026-08-03 14:38:00,324,NIFTY,2026-08-04 00:00:00,SETUP_CALL,24550,ITM1,BREAKOUT_UP,52,"Breakout UP setup (waiting for flow/momentum/unwind) | VOL_EXP,CALL_MOM,WALL_UNWIND_UP,TAIL_HIGH,RANGE",,,,
2026-08-03 00:00:00,2026-08-03 14:39:00,325,NIFTY,2026-08-04 00:00:00,SETUP_CALL,24550,ITM1,BREAKOUT_UP,40,"Breakout UP setup (waiting for flow/momentum/unwind) | WALL_UNWIND_UP,WALL_UNWIND_DOWN,WALL_SHIFT,TAIL_HIGH,PIN,BULL_TRAP",,,,
2026-08-03 00:00:00,2026-08-03 14:40:00,326,NIFTY,2026-08-04 00:00:00,SETUP_CALL,24550,ITM1,BREAKOUT_UP,60,"Breakout UP setup (waiting for flow/momentum/unwind) | VOL_EXP,WALL_UNWIND_UP,WALL_UNWIND_DOWN,COMMITTED,TAIL_HIGH,PIN,FOMO",,,,
